artist,song,mix_id,source_path,decoder_backend,soundfile_version,libsndfile_version,decoder_mp3_support,sample_rate,decoded_channels,decoded_frame_count,soundfile_info_frame_count,soundfile_info_frame_count_matches_decoded,soundfile_info_minus_decoded_frames,reported_duration_seconds,decoded_duration_from_frames_seconds,duration_frame_delta_seconds,full_waveform_decode_verified,decode_duration_consistent_with_report,notes
The DoneFors,Lead Me,mix_5e09465de0ed,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-D.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3552768,3552768,true,0,80.561633,80.561632653,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_345e90b3c215,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-E.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3552768,3552768,true,0,80.561633,80.561632653,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_4e2cf7c970a8,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-F.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3551616,3551616,true,0,80.535510,80.535510204,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_542ca972e5f6,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-H.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3552768,3552768,true,0,80.561633,80.561632653,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_d2cf329ea054,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-pro.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3551616,3551616,true,0,80.535510,80.535510204,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_d2a4240adfd8,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A1.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3572399,3572399,true,0,81.006780,81.006780045,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_a5df7e0b4222,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A2.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3572399,3572399,true,0,81.006780,81.006780045,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_06852a8a8947,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A3.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3572399,3572399,true,0,81.006780,81.006780045,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_5d42d0f1628e,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A4.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3572399,3572399,true,0,81.006780,81.006780045,0.000000000,true,true,full_decode_verified_from_sf_read
The DoneFors,Lead Me,mix_0255886c8875,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A5.mp3,soundfile,0.14.0,1.2.2,true,44100,2,3572399,3572399,true,0,81.006780,81.006780045,0.000000000,true,true,full_decode_verified_from_sf_read
