artist,song,mix_id,institution,source_path,reference_mix_id,decoder_backend,original_sample_rate,decoded_channels,original_duration_seconds,estimated_lag_seconds,refined_lag_seconds,alignment_score,second_best_score,confidence_margin,alignment_confidence,aligned_start_seconds,aligned_end_seconds,usable_overlap_seconds,retained_for_excerpt_selection,exclusion_reason,notes,soundfile_version,libsndfile_version,decoder_mp3_support,decoded_frame_count,soundfile_info_frame_count,decoded_duration_from_frames_seconds,duration_frame_delta_seconds,full_waveform_decode_verified,decode_duration_consistent_with_report,decode_verification_notes,soundfile_info_frame_count_matches_decoded,soundfile_info_minus_decoded_frames
The DoneFors,Lead Me,mix_8617440e42f5,CNS,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-A.mp3,mix_271852ba8676,soundfile,44100,2,80.013061,-0.073107,-0.073107,0.838293,0.561054,0.277239,0.878719,0.073107,80.086168,80.013061,true,,,0.14.0,1.2.2,true,3528576,3528576,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_7734100f29f3,CNS,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-B.mp3,mix_271852ba8676,soundfile,44100,2,80.013061,0.046621,0.046621,0.757343,0.585854,0.171489,0.818007,-0.046621,79.966440,80.013061,true,,,0.14.0,1.2.2,true,3528576,3528576,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_824f6c7e53d0,CNS,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-C.mp3,mix_271852ba8676,soundfile,44100,2,80.013061,-0.018231,-0.018231,0.848386,0.537134,0.311252,0.886290,0.018231,80.031292,80.013061,true,,,0.14.0,1.2.2,true,3528576,3528576,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_e81c71fd1462,CNS,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-D.mp3,mix_271852ba8676,soundfile,44100,2,80.013061,-0.038186,-0.038186,0.808574,0.591768,0.216807,0.856431,0.038186,80.051247,80.013061,true,,,0.14.0,1.2.2,true,3528576,3528576,80.013061224,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_8f1477339518,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-A.mp3,mix_271852ba8676,soundfile,44100,2,80.014127,-0.020408,-0.020408,0.874970,0.514201,0.360769,0.906228,0.020408,80.034535,80.014127,true,,,0.14.0,1.2.2,true,3528623,3528623,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_7cdfb2503e88,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-B.mp3,mix_271852ba8676,soundfile,44100,2,80.014127,-0.000454,-0.000454,0.879706,0.560089,0.319617,0.909779,0.000454,80.014581,80.014127,true,,,0.14.0,1.2.2,true,3528623,3528623,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_a321c1267965,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-C.mp3,mix_271852ba8676,soundfile,44100,2,80.014127,-0.000454,-0.000454,0.903875,0.567442,0.336432,0.927906,0.000454,80.014581,80.014127,true,,,0.14.0,1.2.2,true,3528623,3528623,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_f1f7973e5bac,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-D.mp3,mix_271852ba8676,soundfile,44100,2,80.014127,-0.020408,-0.020408,0.622654,0.405117,0.217537,0.716991,0.020408,80.034535,80.014127,true,,,0.14.0,1.2.2,true,3528623,3528623,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_271852ba8676,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-E.mp3,mix_271852ba8676,soundfile,44100,2,80.014127,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,-0.000000,80.014127,80.014127,true,,,0.14.0,1.2.2,true,3528623,3528623,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
The DoneFors,Lead Me,mix_3a41a8db47bc,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-F.mp3,mix_271852ba8676,soundfile,44100,2,80.014127,-0.000454,-0.000454,0.876979,0.553477,0.323503,0.907735,0.000454,80.014581,80.014127,true,,,0.14.0,1.2.2,true,3528623,3528623,80.014126984,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
