artist,song,component,feature,loading,retained
Broken Crank,Red To Blue,bark_pc_04,bark_mid_01,-0.114268121295,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_02,0.00669859217299,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_03,-0.108400062686,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_04,-0.109678874552,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_05,-0.0525354875423,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_06,-0.0867993407304,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_07,-0.255247952437,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_08,0.105180472312,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_09,0.700653316101,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_10,0.105851038245,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_11,0.0230410178558,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_12,0.0131957060803,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_13,0.00493298645093,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_14,-0.000144795446777,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_15,-0.00629974060054,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_16,0.0119109100349,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_17,0.0115662960386,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_18,0.0489749226553,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_19,-0.0543231602161,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_20,-0.101982564232,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_21,-0.10566166073,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_22,-0.145135923234,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_23,-0.210907808041,true
Broken Crank,Red To Blue,bark_pc_04,bark_mid_24,-0.146277094476,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_01,0.00454492882415,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_02,0.000663761264579,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_03,-0.000428271136089,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_04,-0.00155719208718,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_05,0.000187100452185,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_06,0.0850467816019,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_07,0.067322379962,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_08,0.0508733067282,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_09,0.0251778185927,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_10,0.0542190625678,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_11,0.0308504056672,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_12,0.0259974491622,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_13,0.0502531383009,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_14,0.0240353403158,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_15,0.0278864394072,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_16,0.0456690585269,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_17,0.0568357113273,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_18,0.0053855265736,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_19,-0.0306020180549,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_20,-0.0832728054529,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_21,-0.149254133212,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_22,-0.254638657019,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_23,-0.328620937286,true
Broken Crank,Red To Blue,bark_pc_04,bark_side_24,-0.166742268259,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_01,0.0146241703166,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_02,0.405010173888,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_03,-0.0889431495954,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_04,-0.172631807708,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_05,-0.247748741937,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_06,0.000100293790269,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_07,0.0291067555796,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_08,0.257795614914,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_09,0.0575318506401,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_10,-0.0442002254534,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_11,-0.146740574917,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_12,-0.149669994214,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_13,-0.196273524929,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_14,-0.251107548813,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_15,-0.36823172427,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_16,-0.0385786795014,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_17,0.019655965101,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_18,0.209849345714,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_19,0.178238326196,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_20,0.0921250281052,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_21,-0.0141233893743,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_22,-0.0893560982408,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_23,-0.0622749521632,true
Broken Crank,Red To Blue,bark_pc_05,bark_mid_24,-0.101344727435,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_01,0.0649594611403,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_02,0.0502477001139,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_03,-0.0255679616455,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_04,-0.0498476883089,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_05,-0.0190463087822,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_06,-0.0410549002254,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_07,-0.0448673663512,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_08,-0.0147130913006,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_09,0.034173897544,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_10,0.0343242239865,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_11,0.0280184215275,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_12,0.0178194138008,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_13,-0.00590497411544,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_14,-0.0235605525174,true
Broken Crank,Red To Blue,bark_pc_05,bark_side_15,-0.0479218875757,true
