song,bark_channel,bark_band,column,count,mean,standard_deviation
The DoneFors - Lead Me,side,19,bark_side_19,37,6.59928421072,0.331396113108
The DoneFors - Lead Me,side,20,bark_side_20,37,6.57304543418,0.346923989286
The DoneFors - Lead Me,side,21,bark_side_21,37,6.68896590052,0.425514993446
The DoneFors - Lead Me,side,22,bark_side_22,37,6.86085675214,0.460983071345
The DoneFors - Lead Me,side,23,bark_side_23,37,6.60658483247,0.560717212848
The DoneFors - Lead Me,side,24,bark_side_24,37,5.03077169367,1.09406017508
The DoneFors - Pouring Room,mid,1,bark_mid_01,9,8.30900128682,0.114228006561
The DoneFors - Pouring Room,mid,2,bark_mid_02,9,7.97849019368,0.14575800331
The DoneFors - Pouring Room,mid,3,bark_mid_03,9,7.57642851936,0.104380151867
The DoneFors - Pouring Room,mid,4,bark_mid_04,9,7.66637145148,0.0776929021801
The DoneFors - Pouring Room,mid,5,bark_mid_05,9,7.60741790136,0.0995733664572
The DoneFors - Pouring Room,mid,6,bark_mid_06,9,7.26050376892,0.108496183976
The DoneFors - Pouring Room,mid,7,bark_mid_07,9,7.39178180695,0.110084056566
The DoneFors - Pouring Room,mid,8,bark_mid_08,9,7.42376104991,0.119254215077
The DoneFors - Pouring Room,mid,9,bark_mid_09,9,7.07369719611,0.116572532716
The DoneFors - Pouring Room,mid,10,bark_mid_10,9,7.18170038859,0.117999033987
The DoneFors - Pouring Room,mid,11,bark_mid_11,9,7.01646757126,0.112494850424
The DoneFors - Pouring Room,mid,12,bark_mid_12,9,6.99052084817,0.120629630405
The DoneFors - Pouring Room,mid,13,bark_mid_13,9,7.01353809569,0.119765490128
The DoneFors - Pouring Room,mid,14,bark_mid_14,9,7.04580704371,0.155725089033
The DoneFors - Pouring Room,mid,15,bark_mid_15,9,7.26037274467,0.169047130925
The DoneFors - Pouring Room,mid,16,bark_mid_16,9,7.36504401101,0.17407111747
The DoneFors - Pouring Room,mid,17,bark_mid_17,9,7.33909840054,0.169658750055
The DoneFors - Pouring Room,mid,18,bark_mid_18,9,7.33695655399,0.158962090576
The DoneFors - Pouring Room,mid,19,bark_mid_19,9,7.14321862327,0.139438028359
