participant_id,group,song_id,episode,trial_id,trial_index,candidate_count,unique_candidate_count,rating_count,comment_count,distinct_comment_count,max_rating,n_tied_winners,tie_flag,preferred_mix_id,preferred_stimulus_id,preferred_presentation_label,expected_five_candidates,comments_present
P015,group_01,id_like_to_know,EDR-1,P015__trial_02,2,5,5,5,5,1,99,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,D,True,True
P015,group_01,id_like_to_know,EDR-2,P015__trial_03,3,5,5,5,5,1,97,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,D,True,True
P015,group_01,id_like_to_know,FM-1,P015__trial_06,6,5,5,5,5,1,100,1,False,mix_9ffcd672af17,id_like_to_know_pxl_s1,B,True,True
P015,group_01,lead_me,EDR-1,P015__trial_01,1,5,5,5,5,1,100,1,False,mix_d5b28dfc8a93,lead_me_pxl_l1,A,True,True
P015,group_01,lead_me,EDR-2,P015__trial_04,4,5,5,5,5,1,100,1,False,mix_d5b28dfc8a93,lead_me_pxl_l1,A,True,True
P015,group_01,lead_me,FM-1,P015__trial_05,5,5,5,5,5,1,100,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,E,True,True
P016,group_01,id_like_to_know,EDR-1,P016__trial_06,6,5,5,5,5,1,73,1,False,mix_9ffcd672af17,id_like_to_know_pxl_s1,B,True,True
P016,group_01,id_like_to_know,EDR-2,P016__trial_03,3,5,5,5,5,1,72,1,False,mix_9ffcd672af17,id_like_to_know_pxl_s1,C,True,True
P016,group_01,id_like_to_know,FM-1,P016__trial_02,2,5,5,5,5,1,69,1,False,mix_b393d3919c78,id_like_to_know_pxl_s7,C,True,True
P016,group_01,lead_me,EDR-1,P016__trial_05,5,5,5,5,5,1,59,1,False,mix_c7d9a071ba25,lead_me_pxl_l4,C,True,True
P016,group_01,lead_me,EDR-2,P016__trial_04,4,5,5,5,5,1,79,1,False,mix_271852ba8676,lead_me_du_e,E,True,True
P016,group_01,lead_me,FM-1,P016__trial_01,1,5,5,5,5,1,75,1,False,mix_c7d9a071ba25,lead_me_pxl_l4,D,True,True
P017,group_02,in_the_meantime,EDR-1,P017__trial_04,4,5,5,5,5,1,100,1,False,mix_cdaef40f2b94,in_the_meantime_qut_pro,D,True,True
P017,group_02,in_the_meantime,EDR-2,P017__trial_01,1,5,5,5,5,1,100,1,False,mix_c7bdcba64775,in_the_meantime_qut_b,A,True,True
P017,group_02,in_the_meantime,FM-1,P017__trial_06,6,5,5,5,5,1,100,1,False,mix_9baa86357fd4,in_the_meantime_du_i,B,True,True
P017,group_02,pouring_room,EDR-1,P017__trial_03,3,5,5,5,5,1,100,1,False,mix_132e75f34470,pouring_room_mcg_pro1,C,True,True
