,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[525],71.387,1.702,68.131,74.465,0.019,0.027,7701.0,3254.0,1.0
mu[526],61.221,1.682,57.785,64.082,0.019,0.027,7926.0,3155.0,1.0
mu[527],64.238,1.608,61.256,67.261,0.017,0.026,9284.0,2924.0,1.0
mu[528],62.179,1.579,59.19,65.073,0.018,0.024,7303.0,3239.0,1.0
mu[529],69.328,1.673,66.236,72.467,0.021,0.026,6388.0,3375.0,1.0
mu[530],59.162,1.655,55.958,62.129,0.021,0.025,6413.0,3324.0,1.0
mu[531],73.793,1.688,70.548,76.877,0.019,0.028,7681.0,3058.0,1.0
mu[532],63.627,1.663,60.504,66.72,0.019,0.027,8005.0,3195.0,1.0
mu[533],66.644,1.59,63.525,69.494,0.017,0.027,9293.0,2952.0,1.0
mu[534],66.883,1.602,63.831,69.8,0.016,0.029,9855.0,3000.0,1.0
mu[535],63.866,1.683,60.682,66.979,0.019,0.029,8252.0,2974.0,1.0
mu[536],74.032,1.708,70.904,77.266,0.019,0.029,8208.0,2980.0,1.0
mu[537],73.607,1.66,70.643,76.886,0.019,0.026,7531.0,2842.0,1.0
mu[538],63.441,1.632,60.257,66.381,0.018,0.026,7825.0,3341.0,1.0
mu[539],66.458,1.565,63.444,69.29,0.016,0.025,9391.0,3345.0,1.0
mu[540],75.051,1.701,71.931,78.312,0.02,0.029,6908.0,3184.0,1.0
mu[541],65.147,1.623,62.257,68.424,0.018,0.03,7664.0,2842.0,1.0
mu[542],68.624,1.671,65.507,71.803,0.02,0.031,6838.0,3079.0,1.0
mu[543],72.992,1.687,69.908,76.218,0.023,0.029,5374.0,3327.0,1.0
mu[544],63.088,1.609,60.212,66.374,0.022,0.028,5276.0,3189.0,1.0
mu[545],66.565,1.659,63.312,69.704,0.023,0.029,5089.0,3013.0,1.0
mu[546],71.03,1.679,67.645,74.006,0.02,0.031,6952.0,3008.0,1.0
mu[547],67.553,1.63,64.476,70.648,0.019,0.03,7123.0,2805.0,1.0
mu[548],77.457,1.713,74.126,80.547,0.022,0.03,6268.0,2865.0,1.0
mu[549],77.696,1.697,74.519,80.872,0.021,0.031,6679.0,2828.0,1.0
mu[550],67.792,1.614,64.7,70.79,0.019,0.03,7195.0,2768.0,1.0
mu[551],71.269,1.667,68.016,74.4,0.02,0.031,6855.0,2871.0,1.0
mu[552],77.271,1.677,74.114,80.422,0.021,0.028,6284.0,3130.0,1.0
mu[553],70.844,1.635,67.735,73.941,0.02,0.029,6447.0,3081.0,1.0
mu[554],67.367,1.589,64.313,70.21,0.019,0.028,6836.0,2952.0,1.0
mu[555],61.647,1.674,58.296,64.687,0.02,0.03,7056.0,3194.0,1.0
mu[556],71.813,1.687,68.711,75.051,0.019,0.029,7803.0,3134.0,1.0
mu[557],64.664,1.615,61.629,67.689,0.018,0.029,8033.0,2996.0,1.0
mu[558],59.588,1.66,56.435,62.69,0.023,0.028,5212.0,2796.0,1.0
mu[559],62.604,1.6,59.719,65.786,0.022,0.028,5457.0,3237.0,1.0
mu[560],69.754,1.671,66.622,72.785,0.023,0.028,5503.0,2933.0,1.0
mu[561],67.069,1.623,64.001,70.099,0.019,0.03,7040.0,2846.0,1.0
mu[562],64.053,1.679,60.945,67.32,0.02,0.031,6777.0,2873.0,1.0
mu[563],74.219,1.697,71.02,77.414,0.02,0.031,7150.0,2956.0,1.0
mu[564],64.292,1.674,61.312,67.529,0.02,0.031,7050.0,2891.0,1.0
mu[565],67.308,1.608,64.19,70.191,0.019,0.03,7528.0,2760.0,1.0
mu[566],74.458,1.692,71.539,77.884,0.019,0.032,7592.0,3005.0,1.0
mu[567],74.033,1.654,71.001,77.211,0.02,0.027,6843.0,3311.0,1.0
mu[568],63.867,1.633,60.794,66.949,0.02,0.028,6548.0,2920.0,1.0
mu[569],66.884,1.582,63.781,69.66,0.019,0.028,7058.0,2931.0,1.0
mu[570],66.556,1.593,63.704,69.565,0.018,0.027,7613.0,3157.0,1.0
mu[571],76.46,1.665,73.368,79.529,0.02,0.026,7069.0,3354.0,1.0
mu[572],70.033,1.646,67.057,73.201,0.019,0.026,7232.0,3510.0,1.0
mu[573],67.974,1.664,64.835,71.032,0.022,0.026,5806.0,3235.0,1.0
mu[574],64.497,1.61,61.677,67.67,0.021,0.026,6050.0,3161.0,1.0
mu[575],74.401,1.68,71.279,77.526,0.022,0.026,5876.0,3473.0,1.0
mu[576],68.962,1.602,66.09,71.978,0.018,0.025,7674.0,2939.0,1.0
mu[577],78.866,1.679,75.555,81.796,0.02,0.025,7088.0,3727.0,1.0
mu[578],72.439,1.656,69.354,75.524,0.019,0.025,7373.0,3164.0,1.0
mu[579],69.201,1.606,66.172,72.167,0.018,0.027,8236.0,3026.0,1.0
mu[580],72.678,1.664,69.646,75.89,0.019,0.027,7829.0,3318.0,1.0
mu[581],79.105,1.682,76.119,82.336,0.019,0.026,7686.0,3304.0,1.0
mu[582],68.776,1.597,65.574,71.507,0.018,0.026,7705.0,3385.0,1.0
mu[583],78.68,1.676,75.615,81.882,0.02,0.026,7048.0,3333.0,1.0
mu[584],72.253,1.646,69.242,75.287,0.019,0.026,7320.0,3565.0,1.0
mu[585],66.072,1.581,63.045,68.948,0.018,0.027,7780.0,3241.0,1.0
mu[586],73.222,1.646,70.126,76.298,0.019,0.027,7649.0,3388.0,1.0
mu[587],63.056,1.642,59.707,65.902,0.02,0.027,7020.0,3296.0,1.0
mu[588],64.013,1.597,61.039,66.969,0.02,0.026,6156.0,2966.0,1.0
mu[589],60.997,1.658,57.919,64.122,0.022,0.027,5628.0,3043.0,1.0
