mix,start_seconds,end_seconds,mono_corr,stereo_width_diff_db,crest_diff_db,imbalance,simple_score
PXL-S6,30.0,36.0,0.13850122057006245,1.8120380742736195,-0.49542272971462964,-0.0032647437501488867,1.2633300054538794
McG-H,38.0,44.0,-0.10416738202301297,-0.9486691338614843,0.1693125227225778,-0.01015529379873212,1.2680662093851547
DU-M,18.0,24.0,0.4492424515921396,2.4742838123004116,-0.2091212261256672,-0.0032108711187743845,1.2685100900690558
McG-E,62.0,68.0,-0.05451197331028159,0.4793900872716268,2.4701172175472905,0.010379479506753771,1.27923657288847
McG-A,50.0,56.0,-0.01559137271599979,0.769143718466724,-2.031912912480143,-0.011284667750097142,1.2805415415373833
DU-N,22.0,28.0,0.6664455302613643,-1.6620890808955373,-3.0011120224283765,-0.010078313772278283,1.2812113438120252
McG-A,54.0,60.0,-0.018391728834867657,1.1837249789894102,0.6185322987547117,-0.007270981312634755,1.2814257919776473
DU-N,26.0,32.0,0.6334328933512364,-2.15261926375533,-1.3898883800113957,-0.00692983344679586,1.2847928888793745
McG-A,30.0,36.0,-0.025930901565012224,0.6980950758512385,-2.2165461777992697,-0.003922211742884274,1.2933912677255341
McG-A,34.0,40.0,0.006576286377932213,0.9753998865823625,-1.7283026702288886,-0.015075579179499152,1.2937927710696502
McG-H,14.0,20.0,-0.08967398747247947,0.37861835024213697,2.4415024399378993,-0.006485492206391294,1.2948825160567123
PXL-S3,46.0,52.0,0.009861402929179933,0.7681745806421478,2.5089712180001165,0.02685352526829367,1.3007101671627317
UCP-A5,34.0,40.0,0.03492583491204475,1.0699722201897899,-1.8491039248100734,0.01412378770499221,1.3025000289923163
UCP-A4,62.0,68.0,0.3005104960029273,2.5609965319575494,-0.16727835310118877,-0.00415416930622556,1.305590018943953
McG-A,10.0,16.0,-0.012620430870796446,-0.5290569310991984,-3.2201529781393923,0.0066306093377726145,1.332792274012101
McG-H,10.0,16.0,-0.15002415071246097,0.18337623726151975,2.5771530543489867,-0.013199258574419965,1.33830937820803
PXL-S4,38.0,44.0,-0.012410806255515902,1.4830711999479451,0.1434845203845434,0.0023181821394376366,1.3478798905426859
UCP-A4,14.0,20.0,0.21815477353250537,1.7154317659467733,-2.5731716499449604,-0.0038283523834084657,1.36738208340012
DU-M,62.0,68.0,0.4255835772495539,2.497012226894171,0.8583789777107356,0.0015599695558538645,1.3772629601036956
McG-pro,50.0,56.0,-0.04353510753841989,1.3740831082834877,0.40292759003897416,-0.033718722602263024,1.3945509077244298
McG-pro2,50.0,56.0,-0.04353510753841989,1.3740831082834877,0.40292759003897416,-0.033718722602263024,1.3945509077244298
PXL-S3,38.0,44.0,-0.0012866772504110753,1.4446421340296833,0.8389028779590149,0.02401143120284194,1.4107298532095163
UCP-A5,38.0,44.0,0.02621935827776502,0.9902864826777122,-2.7408461955970154,0.006773384699862008,1.4138314541228785
UCP-A4,18.0,24.0,0.17734878642541246,1.6624506043059615,-2.520827398220863,-0.010345649244705022,1.4146518390352854
UCP-A5,42.0,48.0,0.04899804290649077,1.4174147943229851,-1.6900288404021566,0.011686548760690375,1.4242156374088346
