run_tag,config_hash,scenario,participant_count,replication,seed,divergences,max_rhat,min_ess,operational_success,strict_convergence,episode_specific_interaction_slope_bias_mean,episode_specific_interaction_slope_mae,episode_specific_interaction_slope_rmse,episode_specific_interaction_slope_coverage,episode_specific_interaction_slope_sign_recovery,episode_specific_interaction_slope_hdi_width_mean,main_effect_bias_mean,main_effect_mae,main_effect_rmse,main_effect_coverage,main_effect_sign_recovery,main_effect_hdi_width_mean,coefficient_rmse,coefficient_coverage,coefficient_sign_recovery,coefficient_hdi_width_mean,cell_mean_rmse,cell_mean_mae,cell_mean_coverage,average_cell_hdi_width,winner_accuracy,mean_probability_true_winner,true_winner_probability_gt_0_50_rate,true_winner_tie_count,rows,clipped_ratings,failed,error_type,error_summary,warning_count,warning_summary,elapsed_seconds
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,11,335511,0,1.02,58.0,True,False,-0.3608511696870499,0.7032293065032678,0.8036080461632052,1.0,0.9,3.817269136920072,0.1857969444123859,0.4710703722005114,0.5146143966251928,1.0,1.0,2.759720254043475,0.7327624262941126,1.0,0.9285714285714286,3.5151123132410445,3.9733138739259672,3.4669969686164195,0.7333333333333333,8.992875307343757,0.75,0.7711249999999998,0.75,0,900,5,False,,,0,,5.933950185775757
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,12,335512,0,1.02,72.0,True,False,-0.1495018515368026,0.747149260251242,0.9072069168457256,0.9,0.9,3.984138932265687,0.412802054390531,1.3572515773565574,1.684599839424309,0.5,0.75,2.8493514898832526,1.182664980206051,0.7857142857142857,0.8571428571428571,3.659913948727848,2.399606321100197,2.0966509907584903,0.9666666666666668,8.609788454028317,0.9,0.8041874999999999,0.9,0,900,7,False,,,0,,6.269280910491943
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,13,335513,0,1.07,50.0,False,False,-0.2220403982987347,1.0258596334542278,1.1701992139985469,0.9,0.9,3.878457752272426,0.7134711449471391,1.0907130739616293,1.4065254290394482,0.75,0.75,2.8050071952799147,1.2423168774099518,0.8571428571428571,0.8571428571428571,3.5717575931317085,4.300595978050419,3.944848799374579,0.6666666666666666,8.981012793875504,0.85,0.7948125,0.85,0,900,6,False,,,0,,7.1071741580963135
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,14,335514,0,1.03,77.0,True,False,-0.0866646934351083,0.7272444610257576,0.867663946725551,1.0,0.9,3.9450671716429904,0.2136984199077015,0.2358142121426547,0.3806033362075123,1.0,1.0,2.7766990449680837,0.7610069852599793,1.0,0.9285714285714286,3.611247706878732,1.6158217132336343,1.311303234468956,1.0,9.038309125873326,0.85,0.819125,0.85,0,900,11,False,,,0,,6.731082439422607
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,15,335515,0,1.03,82.0,True,False,0.2670684586096427,0.678730590955477,0.7517272488540998,1.0,0.9,3.888301819804711,0.7185369330569731,0.7185369330569731,0.8590058378100506,1.0,0.75,2.715717930347868,0.7838778459986391,1.0,0.8571428571428571,3.553277851388471,1.6919142667523293,1.420904836733715,1.0,8.797283375655947,0.95,0.8586874999999999,0.95,0,900,19,False,,,0,,9.793521404266356
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,16,335516,0,1.03,80.0,True,False,0.0016637038153391,0.8315467209020568,1.0076456984393536,0.9,1.0,3.857276199678432,0.4215420402518538,1.0646519138699315,1.46033157793062,0.75,0.75,2.7147341292033444,1.1552294702735366,0.8571428571428571,0.9285714285714286,3.530835608114121,1.4852696329724824,1.0849028890980337,1.0,8.223429899875574,0.9,0.7995625,0.85,0,900,15,False,,,0,,6.768390893936157
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,17,335517,0,1.05,35.0,False,False,-0.4576549193691362,0.6915270272082202,0.8116348053274676,1.0,1.0,3.991965785626156,0.1634466802893295,0.7252819027965749,0.9221707788098228,1.0,0.75,2.8840482624570223,0.8446937886998048,1.0,0.9285714285714286,3.6754179218635454,2.2452986813449427,2.0326857557954328,1.0,10.898283132845853,0.85,0.8015000000000001,0.85,0,900,21,False,,,0,,6.941884517669678
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,18,335518,0,1.07,27.0,False,False,0.3430948337837632,0.9446992508321742,1.2335903320774473,0.8,0.9,3.881781381373899,0.6566375534167601,1.0246285215722435,1.2442303765522509,0.5,0.75,2.6656070148987765,1.236639686341605,0.7142857142857143,0.8571428571428571,3.5343029909524355,1.492445722113107,1.1183836091603248,1.0,10.659729618724702,0.9,0.87375,0.9,0,900,17,False,,,0,,6.023010730743408
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,19,335519,0,1.05,60.0,True,False,0.0438230590298788,0.8065091051771262,1.1844086726128835,0.8,0.9,3.896693064780906,0.1472337199525252,0.7598583294264947,1.0000057262873163,1.0,0.75,2.8840910555507997,1.1347839582945112,0.8571428571428571,0.8571428571428571,3.6073782050008742,2.269833314834328,1.802781944428408,0.95,8.697495982748459,0.85,0.8327500000000001,0.85,0,900,12,False,,,0,,7.066075563430786
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,30,20,335520,0,1.03,59.0,True,False,-0.4966991684315598,0.5378012588847466,0.828329610145154,0.9,1.0,3.787569963834513,0.5795808160202023,0.5936763397603722,1.017233655523977,0.75,0.75,2.6782639445436613,0.8864196309615008,0.8571428571428571,0.9285714285714286,3.4706253868942696,2.464527702309202,2.0301498760426653,0.95,8.10653082132375,0.9,0.83625,0.9,0,900,4,False,,,0,,6.843127250671387
