parameter,true_value,posterior_mean,posterior_sd,hdi_3%,hdi_97%,bias,absolute_error,squared_error,covered,hdi_width,scenario,n_participants,replication
residual_share,0.5379488041225564,0.498561925749759,0.0419885348890213,0.416517172990188,0.5697596838855012,-0.0393868783727974,0.0393868783727974,0.0015513261879535,True,0.1532425108953132,moderate_expected,80,5
participant_ICC,0.4046938889822438,0.4081590435659254,0.0406823430897613,0.3269534714636199,0.4782901824030574,0.0034651545836816,0.0034651545836816,1.2007296288809802e-05,True,0.1513367109394374,moderate_expected,80,6
stimulus_ICC,0.0573573068951996,0.0947449553320166,0.0384346305757589,0.0325265784180678,0.1630890112089435,0.0373876484368169,0.0373876484368169,0.001397836255635,True,0.1305624327908756,moderate_expected,80,6
residual_share,0.5379488041225564,0.497096001102058,0.0387445265183115,0.4272472910499434,0.5671864622464788,-0.0408528030204984,0.0408528030204984,0.0016689515146316,True,0.1399391711965354,moderate_expected,80,6
participant_ICC,0.4046938889822438,0.4102132539457597,0.0406323576346084,0.3352743572196447,0.4837133624085005,0.0055193649635159,0.0055193649635159,3.0463389600486925e-05,True,0.1484390051888558,moderate_expected,80,7
stimulus_ICC,0.0573573068951996,0.083559975677961,0.0367125797407061,0.0325156054739825,0.1532702517331194,0.0262026687827613,0.0262026687827613,0.000686579851339,True,0.1207546462591368,moderate_expected,80,7
residual_share,0.5379488041225564,0.5062267703762794,0.0385692428176192,0.4308798954374419,0.5756034878409275,-0.031722033746277,0.031722033746277,0.0010062874249999,True,0.1447235924034856,moderate_expected,80,7
participant_ICC,0.4046938889822438,0.398429795814318,0.037947915912994,0.3258353762890346,0.4654062537994005,-0.0062640931679257,0.0062640931679257,3.923886321645412e-05,True,0.1395708775103659,moderate_expected,80,8
stimulus_ICC,0.0573573068951996,0.0376788147543522,0.0178004992915968,0.0127072552664051,0.0701370132142002,-0.0196784921408474,0.0196784921408474,0.0003872430529373,True,0.057429757947795,moderate_expected,80,8
residual_share,0.5379488041225564,0.5638913894313297,0.0358521234248858,0.4903393740741648,0.6222094122531223,0.0259425853087732,0.0259425853087732,0.0006730177325029,True,0.1318700381789574,moderate_expected,80,8
participant_ICC,0.4046938889822438,0.3650044250092382,0.0405775905505408,0.2875636395874683,0.4399239902081734,-0.0396894639730055,0.0396894639730055,0.0015752535504645,True,0.152360350620705,moderate_expected,80,9
stimulus_ICC,0.0573573068951996,0.0352707782077977,0.017403465204237,0.0114178858866738,0.0716794863671634,-0.0220865286874019,0.0220865286874019,0.0004878147494594,True,0.0602616004804895,moderate_expected,80,9
residual_share,0.5379488041225564,0.599724796782964,0.03872765530251,0.5230604972094698,0.6675631897178012,0.0617759926604075,0.0617759926604075,0.0038162732691787,True,0.1445026925083313,moderate_expected,80,9
participant_ICC,0.4046938889822438,0.3878633590225627,0.0452272701803353,0.3074751793719942,0.4688998504900573,-0.016830529959681,0.016830529959681,0.0002832667387237,True,0.161424671118063,moderate_expected,80,10
stimulus_ICC,0.0573573068951996,0.1008890540976418,0.0388419149272254,0.0383187005494839,0.1690699387064535,0.0435317472024421,0.0435317472024421,0.0018950130144973,True,0.1307512381569696,moderate_expected,80,10
residual_share,0.5379488041225564,0.5112475868797953,0.04009502316958,0.4385926090090648,0.5864921578640929,-0.026701217242761,0.026701217242761,0.0007129550022451,True,0.1478995488550281,moderate_expected,80,10
participant_ICC,0.4046938889822438,0.3494946794923633,0.0862953553266166,0.2025243622152608,0.517471846538667,-0.0551992094898804,0.0551992094898804,0.0030469527283077,True,0.3149474843234061,smaller_effects_harder,20,1
stimulus_ICC,0.0573573068951996,0.0361540141223241,0.0273128822797776,0.0023612108140859,0.0750187386064588,-0.0212032927728755,0.0212032927728755,0.0004495796244122,True,0.0726575277923728,smaller_effects_harder,20,1
residual_share,0.5379488041225564,0.6143513063853125,0.0838339936834624,0.4633979481033032,0.7663838668575181,0.0764025022627561,0.0764025022627561,0.0058373423520104,True,0.3029859187542149,smaller_effects_harder,20,1
participant_ICC,0.4046938889822438,0.506953778294283,0.0853557614449195,0.3648704598716726,0.6712802747552538,0.1022598893120392,0.1022598893120392,0.0104570849621105,True,0.3064098148835811,smaller_effects_harder,20,2
stimulus_ICC,0.0573573068951996,0.053793462141151,0.03053295905671,0.00963141701407,0.1065803022111196,-0.0035638447540486,0.0035638447540486,1.2700989430960058e-05,True,0.0969488851970496,smaller_effects_harder,20,2
residual_share,0.5379488041225564,0.439252759564566,0.0775902330211157,0.2989556774310389,0.5825289653464554,-0.0986960445579904,0.0986960445579904,0.0097409092113928,True,0.2835732879154164,smaller_effects_harder,20,2
participant_ICC,0.4046938889822438,0.5842472396361482,0.0854196551127429,0.4319009922001896,0.7525591970949544,0.1795533506539044,0.1795533506539044,0.0322394057310439,False,0.3206582048947648,smaller_effects_harder,20,3
stimulus_ICC,0.0573573068951996,0.0490390923855996,0.025993900526455,0.0109364102417938,0.0981647979835437,-0.0083182145096,0.0083182145096,6.919269262772041e-05,True,0.0872283877417498,smaller_effects_harder,20,3
residual_share,0.5379488041225564,0.3667136679782521,0.0771200906414478,0.2382561146076071,0.5232979305416067,-0.1712351361443042,0.1712351361443042,0.0293214718503584,False,0.2850418159339996,smaller_effects_harder,20,3
participant_ICC,0.4046938889822438,0.4382013813922089,0.0907881997147509,0.2781719157135498,0.6180311701370358,0.033507492409965,0.033507492409965,0.0011227520476038,True,0.3398592544234859,smaller_effects_harder,20,4
stimulus_ICC,0.0573573068951996,0.0259413969354093,0.0183448741045383,6.002439805706846e-07,0.0599195168551881,-0.0314159099597903,0.0314159099597903,0.0009869593986016,True,0.0599189166112075,smaller_effects_harder,20,4
residual_share,0.5379488041225564,0.5358572216723817,0.0876858560439259,0.3757949895930109,0.6982607864824415,-0.0020915824501747,0.0020915824501747,4.37471714587885e-06,True,0.3224657968894306,smaller_effects_harder,20,4
participant_ICC,0.4046938889822438,0.3613676645485191,0.0883310335120992,0.2170231376380477,0.5314952302931182,-0.0433262244337246,0.0433262244337246,0.0018771617236814,True,0.3144720926550704,smaller_effects_harder,20,5
stimulus_ICC,0.0573573068951996,0.0810155065350092,0.0416463404568462,0.0187168547363499,0.1574823682255915,0.0236581996398095,0.0236581996398095,0.000559710410197,True,0.1387655134892416,smaller_effects_harder,20,5
residual_share,0.5379488041225564,0.5576168289164717,0.0838883035280196,0.390042197870515,0.6924361469440866,0.0196680247939152,0.0196680247939152,0.000386831199294,True,0.3023939490735716,smaller_effects_harder,20,5
participant_ICC,0.4046938889822438,0.3773125120424485,0.0861273970117255,0.2147237513049233,0.5226241705858615,-0.0273813769397952,0.0273813769397952,0.0007497398031191,True,0.3079004192809381,smaller_effects_harder,20,6
stimulus_ICC,0.0573573068951996,0.1009293623465229,0.0475292206721354,0.0340613941387654,0.1954227555083925,0.0435720554513232,0.0435720554513232,0.0018985240162531,True,0.1613613613696271,smaller_effects_harder,20,6
residual_share,0.5379488041225564,0.5217581256110284,0.0771765909813976,0.3874443090752601,0.6752531886224895,-0.016190678511528,0.016190678511528,0.0002621380706636,True,0.2878088795472294,smaller_effects_harder,20,6
participant_ICC,0.4046938889822438,0.3449887594414361,0.0868956669931918,0.1770609410012452,0.5003526025834997,-0.0597051295408076,0.0597051295408076,0.0035647024934846,True,0.3232916615822544,smaller_effects_harder,20,7
stimulus_ICC,0.0573573068951996,0.0815334662549966,0.0394381672681353,0.0233844767616729,0.1552582915056301,0.0241761593597969,0.0241761593597969,0.0005844866813902,True,0.1318738147439572,smaller_effects_harder,20,7
