parameter,true_value,posterior_mean,posterior_sd,hdi_3%,hdi_97%,bias,absolute_error,squared_error,covered,sign_recovered,hdi_width,scenario,n_participants,replication
z_RMS,2.2,2.7889536742438668,0.8309810882586117,1.2986691670123485,4.402679018804475,0.5889536742438666,0.5889536742438666,0.3468664304053505,True,True,3.104009851792127,moderate_expected,30,7
z_CF,-1.7,-2.300236482619228,0.9353146469146644,-4.152521447147221,-0.4726579147720797,-0.6002364826192277,0.6002364826192277,0.3602838350671024,True,True,3.679863532375141,moderate_expected,30,7
z_SW,1.9,1.976538691041373,0.9247007702757318,0.2736832063697738,3.74631984013599,0.076538691041373,0.076538691041373,0.0058581712263267,True,True,3.472636633766216,moderate_expected,30,7
episode[EDR-2],-1.4,-2.023656480268363,0.7879893700301498,-3.464857373357292,-0.5480590312827238,-0.6236564802683633,0.6236564802683633,0.3889474053807234,True,True,2.916798342074568,moderate_expected,30,8
episode[FM-1],2.0,1.868852448332831,0.7595500863499788,0.4390770675426456,3.276114345503446,-0.1311475516671689,0.1311475516671689,0.0171996803082927,True,True,2.8370372779608006,moderate_expected,30,8
group[group_02],1.2,0.80116933729793,3.62495209397004,-6.307843873488553,7.487736555626406,-0.3988306627020699,0.3988306627020699,0.1590658975113722,True,True,13.79558042911496,moderate_expected,30,8
z_RMS,2.2,0.9449967740744352,0.895320971384597,-0.8024699394644528,2.558629465133722,-1.2550032259255648,1.2550032259255648,1.5750330970835742,True,True,3.361099404598175,moderate_expected,30,8
z_CF,-1.7,-2.7556751575119374,1.0660393981566425,-4.5960069436468425,-0.7003821308824913,-1.0556751575119374,1.0556751575119374,1.114450038187854,True,True,3.895624812764351,moderate_expected,30,8
z_SW,1.9,0.1427924015604035,1.0923268320171906,-2.170212384425048,2.096069072196969,-1.7572075984395965,1.7572075984395965,3.0877785440138537,True,True,4.266281456622016,moderate_expected,30,8
episode[EDR-2],-1.4,-1.7119324459424692,0.8412816949992459,-3.149460741202523,-0.0926647501826503,-0.3119324459424692,0.3119324459424692,0.0973018508316515,True,True,3.0567959910198725,moderate_expected,30,9
episode[FM-1],2.0,1.2588389138450289,0.8291684422580201,-0.4260603124395659,2.6551903965559207,-0.7411610861549711,0.7411610861549711,0.5493197556304165,True,True,3.0812507089954866,moderate_expected,30,9
group[group_02],1.2,-4.686071116403818,4.601120998618827,-12.705624737222664,3.4256602798526554,-5.886071116403818,5.886071116403818,34.645833187363294,True,False,16.13128501707532,moderate_expected,30,9
z_RMS,2.2,1.829939775982247,0.8160325395673028,0.1921490316894949,3.153228969658389,-0.370060224017753,0.370060224017753,0.1369445694000695,True,True,2.9610799379688943,moderate_expected,30,9
z_CF,-1.7,-1.6344130080680492,0.9081039036664168,-3.3272377960598174,-0.0092238509936819,0.0655869919319507,0.0655869919319507,0.0043016535106817,True,True,3.3180139450661352,moderate_expected,30,9
z_SW,1.9,2.506196081347814,0.8369879788131611,0.8840952952405918,3.983880051220415,0.606196081347814,0.606196081347814,0.3674736890414455,True,True,3.099784755979823,moderate_expected,30,9
episode[EDR-2],-1.4,-1.377641101241428,0.7886133600026968,-2.8688137186396494,0.0101477374670762,0.0223588987585718,0.0223588987585718,0.000499920353696,True,True,2.8789614561067256,moderate_expected,30,10
episode[FM-1],2.0,0.9912063328540704,0.7599932934442785,-0.4889768834737977,2.282853530433281,-1.0087936671459297,1.0087936671459297,1.0176646628737327,True,True,2.7718304139070797,moderate_expected,30,10
group[group_02],1.2,5.69839556323236,3.72287498917752,-1.222504413827199,12.544902864930032,4.49839556323236,4.49839556323236,20.23556264330858,True,True,13.767407278757233,moderate_expected,30,10
z_RMS,2.2,3.188412363081635,0.8665451076143013,1.7940812704040363,5.011442022521203,0.9884123630816348,0.9884123630816348,0.9769589994926215,True,True,3.217360752117167,moderate_expected,30,10
z_CF,-1.7,-1.3082902065489717,0.9729129425703088,-3.0290981381340747,0.5011922895154632,0.3917097934510283,0.3917097934510283,0.1534365622854472,True,True,3.530290427649538,moderate_expected,30,10
z_SW,1.9,1.3036021418130372,0.8756822644724013,-0.4058166955177733,2.907040692142667,-0.5963978581869627,0.5963978581869627,0.3556904052499964,True,True,3.3128573876604404,moderate_expected,30,10
episode[EDR-2],-1.4,-0.2336044126607514,0.7242080663076823,-1.5457187395186869,1.108196070270596,1.1663955873392484,1.1663955873392484,1.3604786661644703,True,True,2.653914809789283,moderate_expected,40,1
episode[FM-1],2.0,3.5976093583899247,0.6756517225257386,2.368247582249759,4.935696002578007,1.597609358389925,1.597609358389925,2.5523556620150667,False,True,2.5674484203282484,moderate_expected,40,1
group[group_02],1.2,-2.0869453913647864,2.7051432056675635,-7.216463391676674,3.265933298983851,-3.286945391364786,3.286945391364786,10.804010005814208,True,False,10.482396690660526,moderate_expected,40,1
