artist,song,mix_id,institution_code,original_dataset_filename,original_mix_name,original_source_path,mapping_valid,mapping_notes
Fredy V,In The Meantime,mix_a31f439e1e87,QUT,QUT-G.mp3,QUT-G,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-G.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_c45aea9558f2,McG,McG-G.mp3,McG-G,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-G.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_c7bdcba64775,QUT,QUT-B.mp3,QUT-B,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-B.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_cdaef40f2b94,QUT,QUT-pro.mp3,QUT-pro,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-pro.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_ce153583405d,McG,McG-F.mp3,McG-F,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-F.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_d58db5dccea3,UCP,UCP-A3.mp3,UCP-A3,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A3.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_da9f94cae537,McG,McG-D.mp3,McG-D,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-D.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_e858d5cf22ea,UCP,UCP-A5.mp3,UCP-A5,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A5.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_efdedc0a36e7,UCP,UCP-A4.mp3,UCP-A4,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A4.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_f44b598b8cf8,PXL,PXL-S6.mp3,PXL-S6,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S6.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_0255886c8875,UCP,UCP-A5.mp3,UCP-A5,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A5.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_06852a8a8947,UCP,UCP-A3.mp3,UCP-A3,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A3.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_271852ba8676,DU,DU-E.mp3,DU-E,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-E.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_28932c4bb152,McG,McG-E.mp3,McG-E,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-E.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_345e90b3c215,QUT,QUT-E.mp3,QUT-E,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-E.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_3a41a8db47bc,DU,DU-F.mp3,DU-F,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-F.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_3bc79ea82599,PXL,PXL-L3.mp3,PXL-L3,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L3.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_4181778a6cfd,McG,McG-D.mp3,McG-D,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-D.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_427e3b105a59,McG,McG-H.mp3,McG-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-H.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_4e2cf7c970a8,QUT,QUT-F.mp3,QUT-F,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-F.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_542ca972e5f6,QUT,QUT-H.mp3,QUT-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-H.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_5aa762fa5def,McG,McG-B.mp3,McG-B,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-B.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_5d42d0f1628e,UCP,UCP-A4.mp3,UCP-A4,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\UCP-A4.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_5e09465de0ed,QUT,QUT-D.mp3,QUT-D,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-D.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_7734100f29f3,CNS,CNS-B.mp3,CNS-B,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-B.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_7b5a2d66116b,McG,McG-C.mp3,McG-C,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-C.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_7cdfb2503e88,DU,DU-B.mp3,DU-B,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-B.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_824f6c7e53d0,CNS,CNS-C.mp3,CNS-C,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-C.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_8617440e42f5,CNS,CNS-A.mp3,CNS-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-A.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_864280f1b98b,QUT,QUT-A.mp3,QUT-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\QUT-A.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_8f1477339518,DU,DU-A.mp3,DU-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-A.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_92e2bdebe300,PXL,PXL-L2.mp3,PXL-L2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L2.mp3,true,derived from source_path basename
The DoneFors,Lead Me,mix_9346b5d4ade2,McG,McG-A.mp3,McG-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-A.mp3,true,derived from source_path basename
