artist,song,original_mix_name,original_dataset_filename,mix_id,stereo_imbalance,absolute_stereo_imbalance,within_song_median_absolute_stereo_imbalance,within_song_robust_scale,robust_qc_score,qc_flag,qc_reason,review_required,review_priority
The DoneFors,Lead Me,McG-pro,McG-pro.mp3,mix_fa064711a381,-0.00143597240094,0.00143597240094,0.0521329641342,0.0524336325008,-0.966879258889,false,,false,normal
The DoneFors,Pouring Room,McG-R,McG-R.mp3,mix_0ba76f420c1d,-0.0638295859098,0.0638295859098,0.0488145165145,0.02,0.750753469765,false,,false,normal
The DoneFors,Pouring Room,McG-Q,McG-Q.mp3,mix_0ddb25d6180b,0.0562552511692,0.0562552511692,0.0488145165145,0.02,0.372036732735,false,,false,normal
The DoneFors,Pouring Room,McG-pro1,McG-pro1.mp3,mix_132e75f34470,-0.0488145165145,0.0488145165145,0.0488145165145,0.02,0,false,,false,normal
The DoneFors,Pouring Room,McG-U,McG-U.mp3,mix_37681ed84b6b,0.0272651258856,0.0272651258856,0.0488145165145,0.02,-1.07746953145,false,,false,normal
The DoneFors,Pouring Room,McG-W,McG-W.mp3,mix_786fc67a9418,0.164418786764,0.164418786764,0.0488145165145,0.02,5.78021351248,true,absolute stereo imbalance robust score 5.78 >= 3.5,true,high
The DoneFors,Pouring Room,McG-pro,McG-pro.mp3,mix_9f79c0810c7e,-0.0488145165145,0.0488145165145,0.0488145165145,0.02,0,false,,false,normal
The DoneFors,Pouring Room,McG-T,McG-T.mp3,mix_be2ccd4c43ff,-0.0455747283995,0.0455747283995,0.0488145165145,0.02,-0.16198940575,false,,false,normal
The DoneFors,Pouring Room,McG-X,McG-X.mp3,mix_cbf8555ee2b2,-0.0265915170312,0.0265915170312,0.0488145165145,0.02,-1.11114997416,false,,false,normal
The DoneFors,Pouring Room,McG-V,McG-V.mp3,mix_e08faaf8bbb3,-0.0483895651996,0.0483895651996,0.0488145165145,0.02,-0.021247565745,false,,false,normal
